game_name,cluster,mean,std,min,max,count
Call of Duty®: Black Ops 6,0,-0.7904347826086956,0.4250098272753613,-0.9982,0.9826,23
Call of Duty®: Black Ops 6,1,-0.016609999999999996,0.7011911211045028,-0.9509,0.9638,20
Call of Duty®: Black Ops 6,2,-0.15931724137931033,0.6868200206484569,-0.9867,0.9837,29
Call of Duty®: Black Ops 6,3,0.03287027027027027,0.6184254149158279,-0.9783,0.9545,37
Call of Duty®: Black Ops 6,4,0.32378103448275863,0.7310627365156277,-0.9886,0.9981,58
Call of Duty®: Black Ops 6,5,-0.0538,0.6337275558155886,-0.9854,0.8689,13
Call of Duty®: Black Ops 6,6,0.028600000000000007,0.7600193190065354,-0.9981,0.9509,20
Call of Duty®: Warzone™,0,-0.2858,0.6990170897515353,-0.9978,0.8519,18
Call of Duty®: Warzone™,1,-0.34094285714285716,0.7631830373282732,-0.9984,0.9776,28
Call of Duty®: Warzone™,2,-0.23930769230769228,0.6176824824313574,-0.9164,0.8957,13
Call of Duty®: Warzone™,3,-0.12882000000000002,0.7590726094076515,-0.9973,0.9992,35
Call of Duty®: Warzone™,4,-0.18178461538461538,0.5851834878855752,-0.9778,0.9246,39
Call of Duty®: Warzone™,5,-0.15714358974358975,0.7404278847555761,-0.9779,0.9552,39
Call of Duty®: Warzone™,6,0.13045,0.6294073935354089,-0.9843,0.93,28
Counter-Strike 2,0,-0.04520000000000001,0.8044142914084894,-0.9986,0.9955,37
Counter-Strike 2,1,0.07440869565217391,0.7610353539231594,-0.9961,0.9628,23
Counter-Strike 2,2,0.32707878787878786,0.7578633063412457,-0.9955,0.9952,33
Counter-Strike 2,3,-0.2732785714285714,0.7275374621268031,-0.9966,0.9962,42
Counter-Strike 2,4,-0.1334421052631579,0.5841288443724385,-0.9887,0.8779,38
Counter-Strike 2,5,0.05081500000000001,0.8163564103444809,-0.9862,0.9965,20
Counter-Strike 2,6,0.6474142857142857,0.4225908755465954,-0.128,0.9926,7
S.T.A.L.K.E.R. 2: Heart of Chornobyl,0,-0.1856307692307692,0.8378412253967688,-0.9939,0.9775,13
S.T.A.L.K.E.R. 2: Heart of Chornobyl,1,0.2604255813953488,0.6891750272169871,-0.9977,0.9735,43
S.T.A.L.K.E.R. 2: Heart of Chornobyl,2,0.28806785714285715,0.7881150860937578,-0.991,0.9962,28
S.T.A.L.K.E.R. 2: Heart of Chornobyl,3,0.2849638888888889,0.7033159948833313,-0.9924,0.9977,36
S.T.A.L.K.E.R. 2: Heart of Chornobyl,4,0.6212150000000001,0.44165142277235125,-0.8481,0.9661,20
S.T.A.L.K.E.R. 2: Heart of Chornobyl,5,-0.45050952380952375,0.6897346844292824,-0.9992,0.9973,21
S.T.A.L.K.E.R. 2: Heart of Chornobyl,6,0.47546153846153844,0.649979276841875,-0.9652,0.9989,39
THRONE AND LIBERTY,0,0.6537906976744186,0.5395061550529131,-0.8869,0.9989,43
THRONE AND LIBERTY,1,0.13463953488372093,0.7655860158633337,-0.9874,0.9882,43
THRONE AND LIBERTY,2,0.5344605263157894,0.5679956663992817,-0.967,0.993,38
THRONE AND LIBERTY,3,-0.2564130434782609,0.8205826706478689,-0.9854,0.9931,23
THRONE AND LIBERTY,4,0.5579,0.7327690935379606,-0.9889,0.9987,19
THRONE AND LIBERTY,5,0.7047,0.5180187713780264,-0.8591,0.9971,17
THRONE AND LIBERTY,6,-0.13961176470588235,0.8618180513327284,-0.9957,0.987,17
