Game Name,Processed Review,Words Produced
HELLDIVERS™ 2,tutorial threw grenade bug hole an_emphasizedt popped bounced grenade killed never_be embarrassed,"['player', 'democracy', 'join', 'bug', 'good', 'love', 'goal', 'mission', 'host', 'session']"
HELLDIVERS™ 2,jimmy525521 never_forget bond session disconnected,"['player', 'democracy', 'join', 'bug', 'good', 'love', 'goal', 'mission', 'host', 'session']"
HELLDIVERS™ 2,good wish friend friend good,"['pas', 'premium', 'battle', 'weapon', 'unlock', 'war', 'credit', 'good', '1', 'friend']"
HELLDIVERS™ 2,worked hard save super earth napalm striked mate democracy,"['player', 'democracy', 'join', 'bug', 'good', 'love', 'goal', 'mission', 'host', 'session']"
HELLDIVERS™ 2,buenos aire kill em,"['bug', 'cheat', 'anti', 'issue', 'helldivers', 'far', 'friend', 'kernel', 'launch', 'hour']"
HELLDIVERS™ 2,good bug dead bug,"['bug', 'cheat', 'anti', 'issue', 'helldivers', 'far', 'friend', 'kernel', 'launch', 'hour']"
HELLDIVERS™ 2,certainly launch issue safe work you_emphasized love it_emphasized fantastic fluid movement combat realism enjoyable immersive fantastic stuff advice heed review purchase set timer hour refund working,"['bug', 'cheat', 'anti', 'issue', 'helldivers', 'far', 'friend', 'kernel', 'launch', 'hour']"
HELLDIVERS™ 2,im,"['pas', 'premium', 'battle', 'weapon', 'unlock', 'war', 'credit', 'good', '1', 'friend']"
HELLDIVERS™ 2,remember game fun fun,"['play', 'fun', 'issue', 'player', 'fix', 'problem', 'crash', 'launch', 'mode', 'gameguard']"
HELLDIVERS™ 2,rock stone feedom democracy,"['player', 'democracy', 'join', 'bug', 'good', 'love', 'goal', 'mission', 'host', 'session']"
HELLDIVERS™ 2,awesome play pro premium currency probably fairest earnable base progression warbonds found randomly map worth noting armor remotely expensive costing equivalency premium currency bought bug blasting fun bored bug blastin swap shootin terminator completeing changing nice depth weapon orbital assistance call different armor different gun make loadout style nice varied global progress war bug liberating 0002 planet per im feel extremely varied due differenet objective layout difficulty scale super fun challenging enemy dont scale health special enemy introduced fight con glitchy probably matchmaking problem occational crash kernal anticheat basically unavoidable day half mode multiple player interact compete real game sketchy,"['play', 'fun', 'issue', 'player', 'fix', 'problem', 'crash', 'launch', 'mode', 'gameguard']"
HELLDIVERS™ 2,halo 3 odst mixed starship trooper starwars literally amazing,"['bug', 'cheat', 'anti', 'issue', 'helldivers', 'far', 'friend', 'kernel', 'launch', 'hour']"
HELLDIVERS™ 2,passionate fan helldivers 1 despite not_having playtime across p pc bit biased honest personally experienced far medium high setting gtx 1080 fe ryzen 7 2700x performance degrades extended period specific planet certain condition memory leak checked assume trickier problem fix crash occur non critical menu hub mileage probably vary sleeping not_getting crash anymore mind crash control fine amazing notable graphic setting stupid stuff enabled turn motion blur actual optimization issue s far mainly compatibility failing launch certain setup unfortunately biggest advice test agrees computer chance not_supposedly kernel anti cheat tier vanguard anti cheat consider doesnt impact unless kali linux tor browser vpn probably care existence anti cheat kinda stupid remove move reputable break not_really please voice probably not_a great choice strike moment 1 matchmaking broken mind play alone play friend currently matchmaking working fine sound fixed fast crossplay working mind disable fixed able play different platform probably expect issue fixed week strike wow fixed fast surprising monetization recently rewrote section entirely explain 3 page page buying premium currency page buying item premium currency banner act similar battle pas page mentioned exactly 4 item sale zero i_emphasizedmpact play not_u gear obtained microtransactions exact stats passive gear obtain not_particularly amazing pretty buying cosmetic value third page mentioned progression currently banner banner 10 page progression completely page generally set armor weapon banner premium currency couple random thing not_have unlock proceed next page spent certain currency increase banner premium banner three page gear par banner spend currency progress believe need verification essence downloadable additional released initial launch arrowhead studio year not_timed not_going zero fomo downloadable additional released initial launch slightly different format causing panic downloadable additional released initial launch last rated mixed expect balance 70 90 positive test 1 issue fixed bad bad purchase 40 dollar studio dropping steamy pile 70 lookin suicide squad 7 10 major major miss largely depending hardware agrees not_the extremely fun challenging depending difficulty replayability friend friend hopefully hiccup ironed pretty quickly early patch i_emphasized care best possibly start decline quality certainly updated reflect yapping idea streaming ttv gahmoo,"['bug', 'cheat', 'anti', 'issue', 'helldivers', 'far', 'friend', 'kernel', 'launch', 'hour']"
HELLDIVERS™ 2,name rico buenos aire kill em,"['bug', 'cheat', 'anti', 'issue', 'helldivers', 'far', 'friend', 'kernel', 'launch', 'hour']"
HELLDIVERS™ 2,phenomenal personally enjoyed helldivers offered top tier sequel visuals scenery open exploration unique creature design not_to mention destructability environment thing worth 40 cannot_explain demoralizing play 40 minute 20_emphasized sample side objective task objective given non finished disconnect extract lose progress multiple time f ck that_emphasized horsesh keeping eye software fix bug balance add feature note play waste,"['super', 'stratagem', 'premium', 'credit', 'weapon', 'different', 'enemy', 'progression', 'sample', 'armor']"
HELLDIVERS™ 2,kill bug behead bug roundhouse kick bug soil slam dunk bug trashcan defecate bug tunnel launch bug sol stir fry bug pan toss bug active volcano urinate bug nest judo throw bug wood chipper twist bug head report bug super earth karate chop bug half curb stomp pregnant bug trap bug nuclear blast crush bug 500kg bomb roast bug laser eat bug dissect bug exterminate bug name super earth stomp bug skull steel toed boot cremate bug hellbomb explosion lobotomize bug mandatory destruction bug grind bug baby gatling turret drown bug grenade incinerate bug flamethrower kick old bug cliff,"['bug', 'cheat', 'anti', 'issue', 'helldivers', 'far', 'friend', 'kernel', 'launch', 'hour']"
HELLDIVERS™ 2,riddled bug hope stay love smiting name democracy actual bug yes matchmaking problem frustrating experienced fair share crash arrowhead transparent addressing providing frequent update issue already mitigated resolved week mine extremely fun problem highly recommended,"['play', 'fun', 'issue', 'player', 'fix', 'problem', 'crash', 'launch', 'mode', 'gameguard']"
